"Date","Amount","Description","Category","Shared","Purchased"
"11/1/2021","$1750.00","Rent","Rent","Yes","Abbey"
"11/1/2021","$125.00","Abbey clothing","Clothes","No","Abbey"
"11/5/2021","$20.82","Makers Tickets","Personal","No","Abbey"
"11/4/2021","$26.15","Panera","Dining Out","Yes","Abbey"
"11/3/2021","$85.00","Accupuncture","Health/medical","No","Abbey"
"11/5/2021","$87.98","Trader Joe's","Groceries","Yes","Mitch"
"11/6/2021","$15.46","Hobby Lobby","Home","Yes","Mitch"
"11/8/2021","$6.34","Wendy's","Dining Out","No","Mitch"
"11/8/2021","$294.10","Quebec City AirBNB","Travel","Yes","Mitch"
"11/8/2021","$89.19","Target","Home","Yes","Mitch"
"11/8/2021","$10.58","Market Basket","Groceries","Yes","Mitch"
"11/8/2021","$4.04","CVS","Dining Out","No","Mitch"
"11/2/2021","$14.18","Amazon Coffee","Groceries","Yes","Mitch"
"11/5/2021","$27.52","Gar- Car","Transportation/Gas","No","Mitch"
"11/10/2021","$18.93","Job Lot","Home","Yes","Mitch"
"11/8/2021","$47.47","Verizon","Utilities","Yes","Mitch"
"11/10/2021","$27.36","Gas","Utilities","Yes","Mitch"
"11/10/2021","$62.88","Electric","Utilities","Yes","Mitch"
"11/5/2021","$36.16","Gas","Transportation/Gas","Yes","Abbey"
"11/5/2021","$15.70","Dollar Tree Christmas ","Home","Yes","Abbey"
"11/8/2021","$27.70","Boston Globe","Subscriptions","No","Abbey"
"11/9/2021","$26.32","Job Lot Christmas","Home","Yes","Abbey"
"11/10/2021","$18.91","Dollar Tree Christmas ","Home","Yes","Abbey"
"11/13/2021","$22.43","Ikea lunch ","Dining Out","Yes","Abbey"
"11/13/2021","$8.48","Ikea groceries","Groceries","Yes","Abbey"
"11/13/2021","$31.99","Buffalo Trace","Groceries","Yes","Abbey"
"11/14/2021","$22.00","Bahn Mi ","Dining Out","No","Abbey"
"11/14/2021","$34.96","Josephine Wedding/Christmas ","Gifts","No","Abbey"
"11/11/2021","$42.93","World Market","Home","Yes","Mitch"
"11/11/2021","$71.93","Wegman's","Groceries","Yes","Mitch"
"11/12/2021","$39.03","Gas- Subaru","Transportation/Gas","No","Mitch"
"11/13/2021","$39.85","Ikea","Home","Yes","Mitch"
"11/13/2021","$66.02","Costco","Groceries","Yes","Mitch"
"11/14/2021","$38.95","TJ Maxx","Clothes","No","Mitch"
"11/15/2021","$6.44","Shaw's","Groceries","Yes","Mitch"
"11/15/2021","$58.35","Window Fan ","Home","Yes","Mitch"
"11/15/2021","$48.56","Aldi","Groceries","Yes","Mitch"
"11/17/2021","$156.00","Phone Pay-off","Utilities","No","Mitch"
"11/17/2021","$21.25","Wright's Dairy Farm","Groceries","Yes","Mitch"
"11/18/2021","$29.40","Little Caesars","Dining Out","Yes","Mitch"
"11/19/2021","$38.51","Game","Personal","No","Mitch"
"11/19/2021","$28.87","Gas- Car","Transportation/Gas","No","Mitch"
"11/20/2021","$7.00","Truffles","Dining Out","No","Mitch"
"11/21/2021","$9.24","Rolls","Groceries","Yes","Mitch"
"11/21/2021","$27.05","Amazon ","Home","Yes","Mitch"
"11/22/2021","$86.92","Costco","Groceries","Yes","Mitch"
"11/22/2021","$71.47","Trader Joe's","Groceries","Yes","Mitch"
"11/22/2021","$3.60","Shell","Transportation/Gas","Yes","Mitch"
"11/22/2021","$15.83","Paper Source","Home","No","Abbey"
"11/21/2021","$36.85","Target","Home","No","Abbey"
"11/21/2021","$85.00","Accupuncture","Health/medical","No","Abbey"
"11/18/2021","$5.04","Stop and Shop ","Work Related","No","Abbey"
"11/23/2021","$8.95","Gas- Subaru Adjusted","Transportation/Gas","No","Mitch"
"11/23/2021","$30.00","Aldi","Groceries","Yes","Mitch"
"11/27/2021","$5.34","Michaels Wreath","Home","Yes","Mitch"
"11/27/2021","$4.83","Dunkin","Dining Out","No","Mitch"
"11/28/2021","$25.34","Stock Culinary","Gifts","Yes","Mitch"
"11/28/2021","$32.68","Venda","Gifts","Yes","Mitch"
"11/28/2021","$5.75","Sciallo Brothers","Dining Out","No","Mitch"
"11/28/2021","$62.23","Nikki's Liqours","Groceries","No","Mitch"
"11/28/2021","$17.85","Madrid Bakery","Dining Out","No","Mitch"
"11/28/2021","$23.54","Rhody Craft","Gifts","Yes","Mitch"
"11/28/2021","$26.66","Eastside Market","Groceries","Yes","Mitch"
"11/24/2021","$4.99","Peacock","Subscriptions","No","Mitch"
"11/26/2021","$15.76","Target","Home","Yes","Mitch"
"11/27/2021","$10.17","Etsy - Josh Gift","Gifts","Yes","Mitch"
"11/27/2021","$7.90","Not Just Spices","Groceries","Yes","Mitch"
"11/28/2021","$37.76","Amazon - Boys Gifts","Gifts","Yes","Mitch"
"11/28/2021","$141.90","Asos","Clothes","Yes","Mitch"
"11/23/2021","$23.16","Market Basket","Groceries","Yes","Abbey"
"11/24/2021","$11.76","Stop and Shop ","Groceries","Yes","Abbey"
"11/26/2021","$16.04","Nikki's Liqours","Groceries","Yes","Abbey"
"11/27/2021","$5.75","Craftland","Gifts","No","Abbey"
"11/27/2021","$0.96","Amazon prints","Gifts","Yes","Abbey"
"11/28/2021","$17.35","Amazon Grandma Alice","Gifts","Yes","Abbey"
"11/28/2021","$6.99","Tonys Colonial Pasta","Gifts","Yes","Abbey"
"11/28/2021","$14.18","Amazon Alicia Gift ","Gifts","No","Abbey"
